Синоптический_индекс_станции,Дата_по_Гринвичу,Сумма_осадков,Средняя_температура
30815,1998-04-20T15:00:00Z,42.3,-8.7
30815,1999-05-22T00:00:00Z,23.5,-0.1
30815,2000-04-27T15:00:00Z,22.7,-3.35
30815,2002-04-04T15:00:00Z,20.2,-11.5
30815,2002-05-01T03:00:00Z,23.1,-6.15
30815,2002-10-27T15:00:00Z,21,-7.725
30815,2002-10-28T03:00:00Z,20.7,-11.625
30815,2003-04-10T15:00:00Z,23.9,-6.15
30815,2003-09-29T15:00:00Z,26.6,-2.325
30815,2003-10-31T15:00:00Z,27,-7.475
30815,2005-04-07T15:00:00Z,21.4,-8.4
30815,2006-05-02T15:00:00Z,21.1,-3.225
30815,2007-05-22T18:00:00Z,31.9,-0.7000000000000001
30815,2007-06-01T18:00:00Z,30.4,-1.5999999999999999
30815,2007-06-02T06:00:00Z,35.4,-0.875
30815,2007-09-24T21:00:00Z,37.5,-0.9500000000000001
30815,2008-05-01T15:00:00Z,20.4,-3.425
30815,2008-05-25T15:00:00Z,33.1,-1.85
30815,2008-09-08T21:00:00Z,21.9,-0.35
30815,2008-10-17T03:00:00Z,24.4,-1.4
30815,2009-09-18T15:00:00Z,25.4,-3.8
30815,2009-09-19T03:00:00Z,29.6,-3.925
30815,2009-09-19T15:00:00Z,33.6,-1.075
30815,2009-10-08T12:00:00Z,33.9,-0.9500000000000001
30815,2011-04-28T18:00:00Z,55.5,-5.025
30815,2011-05-03T15:00:00Z,31.9,-3.275
30815,2011-05-07T21:00:00Z,28.6,-1.4
30815,2012-04-17T18:00:00Z,23.4,-3
30815,2012-04-22T03:00:00Z,23.6,-4.975
30815,2012-05-20T15:00:00Z,43.1,-1
30815,2012-05-21T03:00:00Z,35.9,-2.05
30815,2012-05-27T03:00:00Z,24.1,-3.15
30815,2012-09-30T09:00:00Z,21,-0.45
30815,2012-10-11T03:00:00Z,24.1,-5.825
30815,2014-05-06T15:00:00Z,23.6,-3.525
30815,2014-05-07T03:00:00Z,26.6,-5.25
30815,2014-05-07T15:00:00Z,27.6,-4.425
30815,2014-05-11T15:00:00Z,28.6,-4.25
30815,2015-05-01T15:00:00Z,31.6,-3.95
30815,2015-10-06T09:00:00Z,21.6,-2.075
30822,1989-11-05T03:00:00Z,23,-2.125
30822,2006-11-25T15:00:00Z,21.2,-9.925
30823,1987-07-27T21:00:00Z,1855.8000000000002,-34.13333333333333
30823,1987-07-29T06:00:00Z,3090.9,-51.16666666666667
30823,1987-07-29T18:00:00Z,518.3,-51.2
30823,1987-07-30T15:00:00Z,723.1,-25.6
30823,1987-07-31T00:00:00Z,415.9,-51.2
30823,1987-07-31T12:00:00Z,620.7,-63.9
30823,1990-04-12T12:00:00Z,518.3,-12.8
30823,1990-04-13T00:00:00Z,2470.2,-64
30823,1990-04-14T18:00:00Z,415.9,-24.9
30823,1990-04-15T00:00:00Z,3398.1,-59.5
30823,1990-04-15T12:00:00Z,2783.7,-34.13333333333333
30823,1990-04-16T00:00:00Z,1759.7,-76.8
30823,1990-04-16T12:00:00Z,1337.5,-64
30825,1987-05-02T06:00:00Z,2367.8,-83.19999999999999
30825,1987-05-02T15:00:00Z,1139,-76.8
30825,1987-05-03T03:00:00Z,2163,-38.4
30825,1987-05-04T06:00:00Z,620.7,-12.8
30825,1987-05-04T15:00:00Z,415.9,-38.4
30825,1987-05-05T00:00:00Z,211.1,-25.6
30825,1987-05-05T12:00:00Z,1548.6,-38.4
30825,1987-05-05T21:00:00Z,524.6,-64
30859,2002-04-06T03:00:00Z,20.9,-4.2
30879,1989-05-17T12:00:00Z,1235.1,-38.4
30879,1989-05-17T18:00:00Z,108.7,-38.4
30879,1989-05-18T18:00:00Z,518.3,-25.6
30879,1989-05-19T06:00:00Z,1132.7,-64
30879,1989-05-19T12:00:00Z,1132.7,-89.6
30879,1989-05-19T18:00:00Z,2470.2,-57.6
30879,1989-05-20T09:00:00Z,108.7,-64
30879,1989-05-20T21:00:00Z,415.9,-12.8
30879,1989-05-21T06:00:00Z,1235.1,-12.8
30879,1989-05-21T12:00:00Z,1024,-64
30879,1989-12-08T09:00:00Z,211.1,-88.9
30879,1989-12-08T15:00:00Z,422.2,-63.3
30879,1989-12-09T00:00:00Z,422.2,-37.7
30879,1989-12-10T15:00:00Z,518.3,-24.9
30879,1989-12-10T21:00:00Z,313.5,-50.5
30879,1989-12-11T09:00:00Z,319.8,-53.85
30879,2001-10-15T12:00:00Z,22.3,-2.6
30915,1988-12-13T12:00:00Z,1049.2,-82.525
30915,1988-12-14T12:00:00Z,313.5,-63.3
30915,1988-12-14T21:00:00Z,211.1,-89
30915,1988-12-15T06:00:00Z,524.6,-69.7
30915,1988-12-16T06:00:00Z,211.1,-76.1
30925,2009-09-19T00:00:00Z,25.5,-0.2
30925,2012-04-22T18:00:00Z,23.4,-0.8333333333333334
30954,2002-04-06T03:00:00Z,49.1,-8.35
31004,1991-05-21T18:00:00Z,21.7,-1.225
31004,2003-09-10T15:00:00Z,23.3,-1.05
31004,2004-06-02T21:00:00Z,23.8,-0.35
31004,2009-05-11T15:00:00Z,29.3,-0.8250000000000001
31026,2003-10-07T03:00:00Z,20.3,-2.35
31062,1989-10-24T03:00:00Z,211.1,-24.9
31062,1989-10-25T06:00:00Z,211.1,-50.5
31062,1989-10-25T12:00:00Z,313.5,-76.1
31062,1989-10-26T00:00:00Z,1663.6,-47.3
31062,1989-11-06T06:00:00Z,211.1,-24.9
31062,1998-09-26T15:00:00Z,26.1,-0.4
31062,1998-10-03T03:00:00Z,24.4,-1.025
31088,1987-11-11T03:00:00Z,22.7,-7
31092,1977-10-17T00:00:00Z,21.5,-1.175
31092,1977-11-28T03:00:00Z,25,-3.6500000000000004
31092,1977-11-28T15:00:00Z,31.6,-1.6666666666666667
31092,1978-04-26T12:00:00Z,22.8,-1.55
31092,1981-05-03T15:00:00Z,25.8,-1.45
31092,1981-10-23T12:00:00Z,20.7,-5.65
31092,1981-10-24T00:00:00Z,27.299999999999997,-3.25
31092,1982-10-26T12:00:00Z,26.9,-1.125
31092,1983-01-13T00:00:00Z,21.599999999999998,-2.25
31092,1984-11-27T12:00:00Z,32,-10.45
31092,1985-02-09T00:00:00Z,20.700000000000003,-7.625
31092,1985-03-26T12:00:00Z,21.7,-2.05
31092,1985-03-27T00:00:00Z,27.7,-2.725
31092,1985-04-09T12:00:00Z,23.799999999999997,-3.15
31092,1988-04-28T18:00:00Z,27.2,-0.85
31092,1989-04-02T12:00:00Z,24.5,-3.25
31092,1989-12-16T00:00:00Z,24.3,-4.65
31092,1990-04-06T00:00:00Z,41.1,-1.075
31092,1990-04-06T18:00:00Z,23.8,-0.4666666666666667
31092,1990-07-06T03:00:00Z,1343.8000000000002,-51.2
31092,1990-11-08T21:00:00Z,415.9,-15.625
31092,1990-11-10T03:00:00Z,108.7,-37.7
31092,1990-11-10T18:00:00Z,723.1,-76.8
31092,1996-11-07T00:00:00Z,48,-8.5
31092,1997-03-31T00:00:00Z,27.6,-3.9
31092,2000-10-15T12:00:00Z,23.9,-2.35
31092,2000-10-25T12:00:00Z,30,-2.825
31092,2000-10-26T00:00:00Z,30.3,-1.2
31092,2001-11-13T00:00:00Z,25.1,-2.5
31092,2002-11-10T12:00:00Z,22.2,-3.1750000000000003
31092,2003-10-12T12:00:00Z,25,-0.375
31092,2006-11-18T15:00:00Z,20.4,-0.375
31092,2007-11-14T21:00:00Z,25.5,-0.3
31092,2008-11-27T12:00:00Z,28.2,-7.625
31092,2010-11-23T00:00:00Z,47.7,-0.925
31092,2010-12-13T00:00:00Z,27.9,-0.55
31092,2016-04-04T00:00:00Z,23.1,-2.225
31102,1991-06-15T15:00:00Z,20.4,-0.375
31102,1996-09-18T03:00:00Z,24,-1.175
31102,1998-09-28T21:00:00Z,32.4,-0.2
31137,1977-09-18T15:00:00Z,20.1,-4.675
31137,1982-09-26T15:00:00Z,35.7,-0.9500000000000001
31137,1987-10-06T03:00:00Z,25.2,-5.95
31137,1988-04-16T15:00:00Z,22.7,-5.8999999999999995
31137,1988-04-17T03:00:00Z,28.7,-7.575
31137,1988-04-30T15:00:00Z,23.8,-5.9
31137,2001-05-13T15:00:00Z,28.5,-1.15
31137,2001-09-13T21:00:00Z,36.5,-1.7249999999999999
31137,2011-09-13T18:00:00Z,34.2,-1
31152,1987-09-27T00:00:00Z,21.6,-1.075
31152,1990-03-29T18:00:00Z,620.7,-12.8
31152,1990-03-30T00:00:00Z,313.5,-12.8
31152,1990-03-30T12:00:00Z,319.8,-44.45
31152,1990-03-30T21:00:00Z,1049.2,-66.675
31152,1990-10-06T03:00:00Z,1452.5,-41.6
31152,2008-10-25T12:00:00Z,44.6,-4
31168,1977-11-22T12:00:00Z,20.2,-4.25
31168,1979-12-20T15:00:00Z,22.700000000000003,-5.825
31168,1980-12-03T09:00:00Z,25,-0.7000000000000001
31168,1980-12-03T21:00:00Z,27.4,-1.2000000000000002
31168,1980-12-08T00:00:00Z,29.5,-1.85
31168,1981-05-03T12:00:00Z,23.8,-1.325
31168,1983-05-10T12:00:00Z,21.200000000000003,-0.9
31168,1988-05-01T12:00:00Z,31.3,-0.925
31168,1988-05-02T00:00:00Z,21.7,-0.42500000000000004
31168,1999-01-27T00:00:00Z,25.8,-9.95
31168,2001-11-11T00:00:00Z,24.5,-2.575
31168,2005-05-03T00:00:00Z,20.4,-0.4
31168,2005-05-03T21:00:00Z,20.5,-0.1
31168,2005-11-08T00:00:00Z,21.1,-0.45
31168,2008-05-05T12:00:00Z,23.4,-0.625
31168,2008-05-06T00:00:00Z,26.3,-0.75
31168,2012-03-18T00:00:00Z,20.2,-11.4
31168,2012-04-14T00:00:00Z,25.7,-1.975
31168,2013-12-11T12:00:00Z,23.1,-3.6
31174,1981-05-12T18:00:00Z,22.299999999999997,-0.6
31174,1982-11-23T00:00:00Z,24,-2.85
31174,1985-10-17T09:00:00Z,23.8,-0.3
31174,1991-10-28T03:00:00Z,22.1,-0.825
31174,1998-11-01T21:00:00Z,30.6,-0.3
31235,1978-10-10T21:00:00Z,20.5,-2.725
31235,1984-10-09T00:00:00Z,24.2,-2.925
31235,1989-10-19T03:00:00Z,1759.6999999999998,-29.633333333333333
31235,1989-10-19T15:00:00Z,211.1,-88.9
31235,1989-10-20T03:00:00Z,729.4,-12.45
31235,1989-10-20T15:00:00Z,422.2,-82.5
31235,1989-10-21T00:00:00Z,313.5,-12.1
31235,2010-09-20T18:00:00Z,20.7,-0.625
31253,1981-05-02T15:00:00Z,20.8,-2
31253,1983-04-29T03:00:00Z,33.1,-0.85
31253,2005-05-11T00:00:00Z,35.3,-1
31253,2009-04-11T21:00:00Z,20.8,-0.2
31285,1978-03-30T00:00:00Z,20.200000000000003,-8.025
31285,1984-01-20T15:00:00Z,26.9,-20.1
31285,1989-09-06T06:00:00Z,825.5,-12.8
31285,1998-01-20T00:00:00Z,21.8,-19.2
31285,1998-05-19T15:00:00Z,28.5,-0.95
31285,2004-05-11T15:00:00Z,24.4,-0.16666666666666666
31285,2008-10-25T15:00:00Z,21.4,-0.45
31285,2008-11-03T12:00:00Z,24.1,-4.7749999999999995
31285,2009-03-24T00:00:00Z,25.8,-8.3
31285,2015-02-10T00:00:00Z,22.3,-18.375
31285,2015-05-05T12:00:00Z,25.7,-1.15
31285,2015-11-04T00:00:00Z,22.6,-2.525
31329,1986-05-07T03:00:00Z,20.1,-2.65
31329,1987-07-18T12:00:00Z,512,-12.8
31329,1987-07-19T00:00:00Z,1964.5,-42.666666666666664
31329,1987-07-19T15:00:00Z,723.1,-76.8
31329,1987-07-20T12:00:00Z,409.6,-51.2
31329,1987-07-20T18:00:00Z,1042.8999999999999,-64
31329,1987-07-21T06:00:00Z,518.3,-76.8
31329,1987-07-21T12:00:00Z,620.7,-76.8
31329,1987-09-14T21:00:00Z,1247.7,-37.93333333333334
31329,1987-09-15T09:00:00Z,927.9,-64
31329,1987-09-16T03:00:00Z,620.7,-51.2
31329,1988-02-19T00:00:00Z,313.8,-39.225
31329,1988-02-19T18:00:00Z,223.7,-33.53333333333333
31329,1988-02-20T09:00:00Z,223.7,-37.699999999999996
31329,1988-02-21T03:00:00Z,211.1,-88.9
31329,1988-02-21T12:00:00Z,211.1,-20.125
31362,1997-01-16T00:00:00Z,24.9,-7.75
31362,2010-05-03T15:00:00Z,26.9,-1.125
31362,2011-04-24T12:00:00Z,23.4,-1.6
31369,1979-04-09T15:00:00Z,20.5,-3.625
31369,2008-11-20T00:00:00Z,26,-2.875
31371,1988-07-13T00:00:00Z,1139,-55.43333333333333
31371,1988-07-13T12:00:00Z,614.4,-76.8
31371,1988-07-13T18:00:00Z,1759.6999999999998,-76.8
31371,1988-07-14T15:00:00Z,415.9,-76.8
31371,1988-07-15T06:00:00Z,729.4,-70.3
31371,1988-07-15T18:00:00Z,211.1,-25.6
31371,1988-07-16T09:00:00Z,723.1,-76.7
31388,1987-09-26T06:00:00Z,4108.6,-59.733333333333334
31416,2003-04-17T00:00:00Z,20.9,-1.1
31416,2011-10-17T03:00:00Z,20.9,-0.26666666666666666
31416,2015-05-05T00:00:00Z,21.1,-1.15
31436,1977-04-18T12:00:00Z,24.200000000000003,-0.55
31436,1977-11-09T00:00:00Z,21.4,-2.6999999999999997
31436,1982-01-13T03:00:00Z,22.200000000000003,-3.4749999999999996
31436,1988-12-09T00:00:00Z,31,-3.7
31436,1995-11-14T12:00:00Z,20.6,-4
31436,2003-04-17T09:00:00Z,28.6,-1.3499999999999999
31436,2012-11-29T12:00:00Z,23.1,-8.375
31439,1977-11-09T12:00:00Z,26,-5.75
31439,1977-11-10T00:00:00Z,21.4,-8.025
31439,1986-11-15T00:00:00Z,20.9,-5.55
31443,1990-02-28T06:00:00Z,108.7,-11.275
31443,1990-03-01T00:00:00Z,844.4,-60.1
31443,1990-03-01T12:00:00Z,211.1,-32.95
31459,1987-11-03T15:00:00Z,21.3,-4.075
31510,1995-04-05T21:00:00Z,25.4,-2.775
31532,1977-10-30T00:00:00Z,24.4,-1.025
31538,1985-10-16T00:00:00Z,34.8,-1.975
31538,1997-10-20T21:00:00Z,20.7,-1.475
26258,1977-12-24T15:00:00Z,21.299999999999997,-1.8
26298,1990-10-21T12:00:00Z,20.2,-1.3
